question,answer
What are the operating hours of the BUV shuttle bus service between Hanoi and the BUV campus?,BUV currently provides a transport service from Hanoi to BUV campus and vice versa which is operating from 6:45 AM to 7:30 PM.
What transport service does BUV currently provide?,BUV currently provides a transport service from Hanoi to BUV campus and vice versa which is operating from 6:45 AM to 7:30 PM.
Are private pick-up points allowed for the BUV shuttle bus service?,BUV bus is a service between predetermined collection points and as such does require passengers to travel to a collection point. There is no private pick-up point applied.
Are passengers required to travel to a collection point for the BUV bus service?,"Yes, BUV bus is a service between predetermined collection points and as such does require passengers to travel to a collection point."
Who is responsible for any parking costs and arrangements for BUV shuttle bus passengers?,Any associated parking costs and arrangements are the users’ responsibility.
Where do BUV buses pick up and drop off passengers?,BUV buses only pick up and drop off passengers at the designated points.
Are BUV buses allowed to pick up passengers at non-designated points?,"No, BUV buses only pick up and drop off passengers at the designated points."
What should passengers do to ensure they do not miss the bus?,Passengers are highly advised to arrive 5-10 minutes before departure time.
Do BUV buses wait for passengers who are late?,BUV buses will depart at the scheduled times and do not wait for latecomers.
What must BUV students and staff wear when using the bus?,BUV students and staffs are required to wear BUV ID Cards when using the bus
What should other passengers present if they wish to use the BUV bus service?,Other passengers who wish to use the bus should present an invitation email or document from BUV representatives.
How is the number of buses for each time slot determined?,Number of buses for every time slot is estimated and arranged based on the number of students attending classes at the nearest class time.
"In case of a bus shortage, how are seats allocated and who gets priority?","In case there is a shortage of buses due to the inconsistent and unexpected bus usage routine of students, seats are allocated on a first come – first served basis and students will be prioritized over staff members."
When is the weekly bus schedule released?,Weekly bus schedule will be released on every Friday of the previous week. 
How are students notified of changes to the bus schedule?,"Students should keep an eye on their mailbox to get the most updated bus schedules. Should there be any changes, notice will be announced at least 1 day in advance."
What is the maximum number of passengers allowed on a BUV bus?,"BUV bus operates with 29-seater coaches, each of which should only transport a maximum of 29 passengers including the bus driver. "
Are more than 29 passengers ever allowed on a BUV bus?,Under no circumstances are more than 29 people allowed on a vehicle.
What right does BUV reserve regarding bus routes or slots with low usage?,BUV reserves the right to cancel any bus route or bus slot if the number of users is constantly recorded as too low.
Under what conditions can BUV cancel a bus route or slot?,BUV reserves the right to cancel any bus route or bus slot if the number of users is constantly recorded as too low.
