day_of_week,trip_id,date
Monday,1,29/07/2024
Monday,2,29/07/2024
Monday,3,29/07/2024
Monday,4,29/07/2024
Monday,5,29/07/2024
Monday,6,29/07/2024
Monday,7,29/07/2024
Monday,8,29/07/2024
Monday,9,29/07/2024
Monday,10,29/07/2024
Monday,11,29/07/2024
Monday,12,29/07/2024
Monday,13,29/07/2024
Monday,14,29/07/2024
Monday,15,29/07/2024
Monday,16,29/07/2024
Monday,17,29/07/2024
Monday,18,29/07/2024
Monday,19,29/07/2024
Monday,20,29/07/2024
Monday,21,29/07/2024
Monday,22,29/07/2024
Monday,23,29/07/2024
Monday,24,29/07/2024
Monday,25,29/07/2024
Tuesday,1,30/07/2024
Tuesday,2,30/07/2024
Tuesday,3,30/07/2024
Tuesday,4,30/07/2024
Tuesday,6,30/07/2024
Tuesday,7,30/07/2024
Tuesday,8,30/07/2024
Tuesday,9,30/07/2024
Tuesday,11,30/07/2024
Tuesday,12,30/07/2024
Tuesday,13,30/07/2024
Tuesday,14,30/07/2024
Tuesday,16,30/07/2024
Tuesday,17,30/07/2024
Tuesday,18,30/07/2024
Tuesday,19,30/07/2024
Tuesday,21,30/07/2024
Tuesday,22,30/07/2024
Tuesday,23,30/07/2024
Tuesday,24,30/07/2024
Wednesday,1,31/07/2024
Wednesday,2,31/07/2024
Wednesday,3,31/07/2024
Wednesday,4,31/07/2024
Wednesday,6,31/07/2024
Wednesday,7,31/07/2024
Wednesday,8,31/07/2024
Wednesday,9,31/07/2024
Wednesday,11,31/07/2024
Wednesday,12,31/07/2024
Wednesday,13,31/07/2024
Wednesday,14,31/07/2024
Wednesday,16,31/07/2024
Wednesday,17,31/07/2024
Wednesday,18,31/07/2024
Wednesday,19,31/07/2024
Wednesday,21,31/07/2024
Wednesday,22,31/07/2024
Wednesday,23,31/07/2024
Wednesday,24,31/07/2024
Thursday,1,01/08/2024
Thursday,2,01/08/2024
Thursday,3,01/08/2024
Thursday,4,01/08/2024
Thursday,5,01/08/2024
Thursday,6,01/08/2024
Thursday,7,01/08/2024
Thursday,8,01/08/2024
Thursday,9,01/08/2024
Thursday,10,01/08/2024
Thursday,11,01/08/2024
Thursday,12,01/08/2024
Thursday,13,01/08/2024
Thursday,14,01/08/2024
Thursday,15,01/08/2024
Thursday,16,01/08/2024
Thursday,17,01/08/2024
Thursday,18,01/08/2024
Thursday,19,01/08/2024
Thursday,20,01/08/2024
Thursday,21,01/08/2024
Thursday,22,01/08/2024
Thursday,23,01/08/2024
Thursday,24,01/08/2024
Thursday,25,01/08/2024
Friday,1,02/08/2024
Friday,2,02/08/2024
Friday,4,02/08/2024
Friday,6,02/08/2024
Friday,7,02/08/2024
Friday,9,02/08/2024
Friday,11,02/08/2024
Friday,14,02/08/2024
Friday,16,02/08/2024
Friday,19,02/08/2024
Friday,21,02/08/2024
Friday,22,02/08/2024
Friday,24,02/08/2024
Monday,26,29/07/2024
Monday,27,29/07/2024
Monday,29,29/07/2024
Monday,30,29/07/2024
Monday,32,29/07/2024
Monday,33,29/07/2024
Monday,35,29/07/2024
Monday,36,29/07/2024
Monday,38,29/07/2024
Monday,39,29/07/2024
Monday,41,29/07/2024
Monday,42,29/07/2024
Monday,44,29/07/2024
Monday,45,29/07/2024
Monday,47,29/07/2024
Monday,48,29/07/2024
Tuesday,26,30/07/2024
Tuesday,27,30/07/2024
Tuesday,28,30/07/2024
Tuesday,29,30/07/2024
Tuesday,30,30/07/2024
Tuesday,32,30/07/2024
Tuesday,33,30/07/2024
Tuesday,34,30/07/2024
Tuesday,35,30/07/2024
Tuesday,36,30/07/2024
Tuesday,38,30/07/2024
Tuesday,39,30/07/2024
Tuesday,41,30/07/2024
Tuesday,42,30/07/2024
Tuesday,44,30/07/2024
Tuesday,45,30/07/2024
Tuesday,47,30/07/2024
Tuesday,48,30/07/2024
Tuesday,50,30/07/2024
Tuesday,51,30/07/2024
Tuesday,52,30/07/2024
Tuesday,53,30/07/2024
Tuesday,54,30/07/2024
Wednesday,26,31/07/2024
Wednesday,27,31/07/2024
Wednesday,29,31/07/2024
Wednesday,30,31/07/2024
Wednesday,50,31/07/2024
Wednesday,51,31/07/2024
Wednesday,53,31/07/2024
Wednesday,54,31/07/2024
Wednesday,32,31/07/2024
Wednesday,33,31/07/2024
Wednesday,35,31/07/2024
Wednesday,36,31/07/2024
Wednesday,38,31/07/2024
Wednesday,41,31/07/2024
Wednesday,42,31/07/2024
Wednesday,44,31/07/2024
Wednesday,47,31/07/2024
Wednesday,48,31/07/2024
Thursday,26,01/08/2024
Thursday,27,01/08/2024
Thursday,29,01/08/2024
Thursday,30,01/08/2024
Thursday,50,01/08/2024
Thursday,51,01/08/2024
Thursday,53,01/08/2024
Thursday,54,01/08/2024
Thursday,32,01/08/2024
Thursday,33,01/08/2024
Thursday,35,01/08/2024
Thursday,36,01/08/2024
Thursday,38,01/08/2024
Thursday,39,01/08/2024
Thursday,41,01/08/2024
Thursday,42,01/08/2024
Thursday,44,01/08/2024
Thursday,45,01/08/2024
Thursday,47,01/08/2024
Thursday,48,01/08/2024
Friday,26,02/08/2024
Friday,27,02/08/2024
Friday,29,02/08/2024
Friday,30,02/08/2024
Friday,50,02/08/2024
Friday,51,02/08/2024
Friday,53,02/08/2024
Friday,54,02/08/2024
Friday,32,02/08/2024
Friday,33,02/08/2024
Friday,35,02/08/2024
Friday,36,02/08/2024
Friday,39,02/08/2024
Friday,41,02/08/2024
Friday,42,02/08/2024
Friday,45,02/08/2024
Friday,47,02/08/2024
Friday,48,02/08/2024
