day_of_week,trip_id,date
Monday,1,12/08/2024
Monday,3,12/08/2024
Monday,4,12/08/2024
Monday,6,12/08/2024
Monday,8,12/08/2024
Monday,9,12/08/2024
Monday,11,12/08/2024
Monday,13,12/08/2024
Monday,14,12/08/2024
Monday,16,12/08/2024
Monday,18,12/08/2024
Monday,19,12/08/2024
Monday,21,12/08/2024
Monday,23,12/08/2024
Monday,24,12/08/2024
Tuesday,1,13/08/2024
Tuesday,2,13/08/2024
Tuesday,5,13/08/2024
Tuesday,6,13/08/2024
Tuesday,7,13/08/2024
Tuesday,10,13/08/2024
Tuesday,11,13/08/2024
Tuesday,12,13/08/2024
Tuesday,15,13/08/2024
Tuesday,16,13/08/2024
Tuesday,17,13/08/2024
Tuesday,20,13/08/2024
Tuesday,21,13/08/2024
Tuesday,22,13/08/2024
Tuesday,25,13/08/2024
Wednesday,1,14/08/2024
Wednesday,2,14/08/2024
Wednesday,3,14/08/2024
Wednesday,6,14/08/2024
Wednesday,7,14/08/2024
Wednesday,8,14/08/2024
Wednesday,11,14/08/2024
Wednesday,12,14/08/2024
Wednesday,13,14/08/2024
Wednesday,16,14/08/2024
Wednesday,17,14/08/2024
Wednesday,18,14/08/2024
Wednesday,21,14/08/2024
Wednesday,22,14/08/2024
Wednesday,23,14/08/2024
Thursday,1,15/08/2024
Thursday,2,15/08/2024
Thursday,3,15/08/2024
Thursday,4,15/08/2024
Thursday,5,15/08/2024
Thursday,6,15/08/2024
Thursday,7,15/08/2024
Thursday,8,15/08/2024
Thursday,9,15/08/2024
Thursday,10,15/08/2024
Thursday,11,15/08/2024
Thursday,13,15/08/2024
Thursday,14,15/08/2024
Thursday,15,15/08/2024
Thursday,16,15/08/2024
Thursday,18,15/08/2024
Thursday,19,15/08/2024
Thursday,20,15/08/2024
Thursday,21,15/08/2024
Thursday,22,15/08/2024
Thursday,23,15/08/2024
Thursday,24,15/08/2024
Thursday,25,15/08/2024
Friday,1,16/08/2024
Friday,2,16/08/2024
Friday,3,16/08/2024
Friday,6,16/08/2024
Friday,7,16/08/2024
Friday,8,16/08/2024
Friday,11,16/08/2024
Friday,12,16/08/2024
Friday,13,16/08/2024
Friday,16,16/08/2024
Friday,17,16/08/2024
Friday,18,16/08/2024
Friday,21,16/08/2024
Friday,22,16/08/2024
Friday,23,16/08/2024
Saturday,1,17/08/2024
Saturday,2,17/08/2024
Saturday,3,17/08/2024
Saturday,4,17/08/2024
Saturday,6,17/08/2024
Saturday,7,17/08/2024
Saturday,8,17/08/2024
Saturday,9,17/08/2024
Saturday,11,17/08/2024
Saturday,13,17/08/2024
Saturday,16,17/08/2024
Saturday,18,17/08/2024
Saturday,21,17/08/2024
Saturday,22,17/08/2024
Saturday,23,17/08/2024
Saturday,24,17/08/2024
