route_name,pickup_point,dropoff_point,date,slot1,slot2,slot3,slot4,slot5,slot6
Cau Giay,Nguyen Quoc Tri,National Cinema Centre,,07:00,09:30,10:25,11:40,13:30,
Cau Giay,Nguyen Quoc Tri,BUV Campus,,07:00,09:30,10:25,11:40,13:30,
Cau Giay,National Cinema Centre,BUV Campus,,07:15,09:45,10:40,11:55,13:45,
Cau Giay,BUV Campus,National Cinema Centre,,11:30,12:30,13:30,15:15,17:35,18:15
Cau Giay,BUV Campus,Nguyen Quoc Tri,,11:30,12:30,13:30,15:15,17:35,18:15
Cau Giay,National Cinema Centre,Nguyen Quoc Tri,,12:20,13:20,14:20,16:05,18:25,19:05
Ha Dong,Ho Guom Plaza,473 Nguyen Trai,,07:30,09:30,10:30,11:30,13:30,
Ha Dong,Ho Guom Plaza,Muong Thanh Grand Hotel,,07:30,09:30,10:30,11:30,13:30,
Ha Dong,Ho Guom Plaza,Linh Nam,,07:30,09:30,10:30,11:30,13:30,
Ha Dong,Ho Guom Plaza,BUV Campus,,07:30,09:30,10:30,11:30,13:30,
Ha Dong,473 Nguyen Trai,Muong Thanh Grand Hotel,,07:40,09:40,10:40,11:40,13:40,
Ha Dong,473 Nguyen Trai,Linh Nam,,07:40,09:40,10:40,11:40,13:40,
Ha Dong,473 Nguyen Trai,BUV Campus,,07:40,09:40,10:40,11:40,13:40,
Ha Dong,Muong Thanh Grand Hotel,Linh Nam,,07:50,09:50,10:50,11:50,13:50,
Ha Dong,Muong Thanh Grand Hotel,BUV Campus,,07:50,09:50,10:50,11:50,13:50,
Ha Dong,Linh Nam,BUV Campus,,08:00,10:00,11:00,12:00,14:00,
Ha Dong,BUV Campus,Linh Nam,,11:30,12:30,13:30,15:15,17:35,18:15
Ha Dong,BUV Campus,Muong Thanh Grand Hotel,,11:30,12:30,13:30,15:15,17:35,18:15
Ha Dong,BUV Campus,473 Nguyen Trai,,11:30,12:30,13:30,15:15,17:35,18:15
Ha Dong,BUV Campus,Ho Guom Plaza,,11:30,12:30,13:30,15:15,17:35,18:15
Ha Dong,Linh Nam,Muong Thanh Grand Hotel,,11:50,12:50,13:50,15:35,17:55,18:35
Ha Dong,Linh Nam,473 Nguyen Trai,,11:50,12:50,13:50,15:35,17:55,18:35
Ha Dong,Linh Nam,Ho Guom Plaza,,11:50,12:50,13:50,15:35,17:55,18:35
Ha Dong,Muong Thanh Grand Hotel,473 Nguyen Trai,,12:00,13:00,14:00,15:45,18:05,18:45
Ha Dong,Muong Thanh Grand Hotel,Ho Guom Plaza,,12:00,13:00,14:00,15:45,18:05,18:45
Ha Dong,473 Nguyen Trai,Ho Guom Plaza,,12:10,13:10,14:10,15:55,18:15,18:55
Tay Ho,Ho Tay Water Park,Nghi Tam,,07:40,09:40,10:40,11:40,13:30,
