day_of_week,trip_id,date
Monday,1,27/05/2024
Monday,2,27/05/2024
Monday,3,27/05/2024
Monday,4,27/05/2024
Tuesday,1,28/05/2024
Tuesday,2,28/05/2024
Tuesday,3,28/05/2024
Tuesday,4,28/05/2024
Tuesday,5,28/05/2024
Wednesday,1,29/05/2024
Wednesday,3,29/05/2024
Thursday,1,30/05/2024
Thursday,2,30/05/2024
Thursday,3,30/05/2024
Thursday,4,30/05/2024
Friday,1,31/05/2024
Friday,2,31/05/2024
Friday,3,31/05/2024
Saturday,1,01/06/2024
Sunday,1,02/06/2024
Monday,6,27/05/2024
Monday,7,27/05/2024
Monday,8,27/05/2024
Monday,9,27/05/2024
Tuesday,6,28/05/2024
Tuesday,7,28/05/2024
Tuesday,8,28/05/2024
Tuesday,9,28/05/2024
Tuesday,10,28/05/2024
Wednesday,6,29/05/2024
Wednesday,8,29/05/2024
Thursday,6,30/05/2024
Thursday,7,30/05/2024
Thursday,8,30/05/2024
Thursday,9,30/05/2024
Friday,6,31/05/2024
Friday,7,31/05/2024
Friday,8,31/05/2024
Saturday,6,01/06/2024
Sunday,6,02/06/2024
Monday,11,27/05/2024
Monday,12,27/05/2024
Monday,14,27/05/2024
Tuesday,11,28/05/2024
Tuesday,12,28/05/2024
Tuesday,14,28/05/2024
Tuesday,15,28/05/2024
Wednesday,11,29/05/2024
Wednesday,13,29/05/2024
Thursday,11,30/05/2024
Thursday,12,30/05/2024
Thursday,13,30/05/2024
Thursday,14,30/05/2024
Friday,11,31/05/2024
Friday,12,31/05/2024
Monday,16,27/05/2024
Monday,17,27/05/2024
Monday,19,27/05/2024
Tuesday,16,28/05/2024
Tuesday,17,28/05/2024
Tuesday,19,28/05/2024
Tuesday,20,28/05/2024
Wednesday,16,29/05/2024
Wednesday,18,29/05/2024
Thursday,16,30/05/2024
Thursday,17,30/05/2024
Thursday,18,30/05/2024
Thursday,19,30/05/2024
Friday,16,31/05/2024
Friday,17,31/05/2024
Monday,21,27/05/2024
Monday,22,27/05/2024
Monday,23,27/05/2024
Monday,24,27/05/2024
Tuesday,21,28/05/2024
Tuesday,22,28/05/2024
Tuesday,23,28/05/2024
Tuesday,24,28/05/2024
Tuesday,25,28/05/2024
Wednesday,21,29/05/2024
Wednesday,23,29/05/2024
Thursday,21,30/05/2024
Thursday,22,30/05/2024
Thursday,23,30/05/2024
Thursday,24,30/05/2024
Friday,21,31/05/2024
Friday,22,31/05/2024
Friday,23,31/05/2024
Saturday,21,01/06/2024
Sunday,21,02/06/2024
Monday,26,27/05/2024
Monday,27,27/05/2024
Monday,29,27/05/2024
Monday,30,27/05/2024
Tuesday,26,28/05/2024
Tuesday,27,28/05/2024
Tuesday,29,28/05/2024
Tuesday,30,28/05/2024
Wednesday,26,29/05/2024
Wednesday,27,29/05/2024
Wednesday,28,29/05/2024
Wednesday,29,29/05/2024
Wednesday,30,29/05/2024
Wednesday,31,29/05/2024
Thursday,26,30/05/2024
Thursday,27,30/05/2024
Thursday,28,30/05/2024
Thursday,29,30/05/2024
Thursday,30,30/05/2024
Thursday,31,30/05/2024
Friday,26,31/05/2024
Friday,27,31/05/2024
Friday,28,31/05/2024
Friday,29,31/05/2024
Friday,30,31/05/2024
Friday,31,31/05/2024
Saturday,30,01/06/2024
Sunday,30,02/06/2024
Monday,32,27/05/2024
Monday,33,27/05/2024
Monday,35,27/05/2024
Monday,36,27/05/2024
Tuesday,32,28/05/2024
Tuesday,33,28/05/2024
Tuesday,35,28/05/2024
Tuesday,36,28/05/2024
Wednesday,32,29/05/2024
Wednesday,33,29/05/2024
Wednesday,34,29/05/2024
Wednesday,35,29/05/2024
Wednesday,36,29/05/2024
Wednesday,37,29/05/2024
Thursday,32,30/05/2024
Thursday,33,30/05/2024
Thursday,35,30/05/2024
Thursday,36,30/05/2024
Thursday,37,30/05/2024
Friday,32,31/05/2024
Friday,33,31/05/2024
Friday,34,31/05/2024
Friday,35,31/05/2024
Friday,36,31/05/2024
Friday,37,31/05/2024
Saturday,36,01/06/2024
Sunday,36,02/06/2024
Monday,39,27/05/2024
Monday,41,27/05/2024
Monday,42,27/05/2024
Tuesday,39,28/05/2024
Tuesday,41,28/05/2024
Tuesday,42,28/05/2024
Wednesday,38,29/05/2024
Wednesday,39,29/05/2024
Wednesday,41,29/05/2024
Wednesday,42,29/05/2024
Wednesday,43,29/05/2024
Thursday,39,30/05/2024
Thursday,41,30/05/2024
Thursday,42,30/05/2024
Thursday,43,30/05/2024
Friday,38,31/05/2024
Friday,39,31/05/2024
Friday,40,31/05/2024
Friday,41,31/05/2024
Friday,42,31/05/2024
Friday,43,31/05/2024
Monday,45,27/05/2024
Monday,47,27/05/2024
Monday,48,27/05/2024
Tuesday,45,28/05/2024
Tuesday,47,28/05/2024
Tuesday,48,28/05/2024
Wednesday,44,29/05/2024
Wednesday,45,29/05/2024
Wednesday,47,29/05/2024
Wednesday,48,29/05/2024
Wednesday,49,29/05/2024
Thursday,45,30/05/2024
Thursday,47,30/05/2024
Thursday,48,30/05/2024
Thursday,49,30/05/2024
Friday,44,31/05/2024
Friday,45,31/05/2024
Friday,46,31/05/2024
Friday,47,31/05/2024
Friday,48,31/05/2024
Friday,49,31/05/2024
